EMBRC Node,EMBRC Site,EMOBON_observatory_id,Water Column,Soft sediment,data_quality_control_threshold_date,data_quality_control_assignee,rocrate_profile_uri,autogenerate
Norway,The Arctic University of Norway (UiT),ESC68N,https://docs.google.com/spreadsheets/d/11_Eu0W1-sDiuzKx1cIl6YuxjRHmWezN6u9v3Ly8JZ3A/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Norway,University of Bergen - Sars International Centre for Marine Molecular Biology (UiB-SICMMB),Bergen,https://docs.google.com/spreadsheets/d/1HuXHiUJICZrmCrJ4EZDyU5aSCMzDAc1cy_tne5YVPTg/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
UK,The Marine Biological Association (MBA),MBAL4,https://docs.google.com/spreadsheets/d/1xfrqraPa0auQ1O-C9RUo68RhxrPCDWkVMCAUbj79AZI/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Belgium,Flanders Marine Institute (VLIZ),BPNS,https://docs.google.com/spreadsheets/d/1mEi4Bd2YR63WD0j54FQ6QkzcUw_As9Wilue9kaXO2DE/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1zc0bZdpl-Eoi35lI_5BGkElbscplyQRyNPLkSgeEyEQ/edit?usp=sharing,2023-12-31,kmexter,https://data.emobon.embrc.eu/observatory-profile/0.22,1
France,Station Biologique de Roscoff (SBR),ROSKOGO,https://docs.google.com/spreadsheets/d/1BCu2pbuIS4f-yrw5Kw4uzfO9v6ryZJBtSF5WBLWG_-E/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1M0ytBWbUDP0YthGtTVtdIaX2cQUxF_uNIJBHIXREoX8/edit?usp=sharing,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
France,Observatoire Océanologique de Villefranche sur mer (IMEV),VB,https://docs.google.com/spreadsheets/d/1kSlTcNfXaCQv7fIKVbBnt5PmRW3_H7Trryh4FJHyLkE/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
France,Observatoire Océanologique de Banyuls sur Mer (OOB),OOB,,https://docs.google.com/spreadsheets/d/1J469_ljfxM9NhOEyRmvWQNOXX7dujxBy1opU6ROmDv8/edit?usp=sharing,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Spain,Vigo University Marine Research Centre - Toralla Marine Science Station (ECIMAT-UVIGO),EMT21,https://docs.google.com/spreadsheets/d/1RutVpduwL1mEed5jC2zLbs0DgkzAwZdsJ27fg3kb0Yg/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1sBB0x6h-prnUHMcOfms_7qSqTn6zeGVriitTysceoT0/edit?usp=sharing,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Spain,University of Basqua Country - Plentzia Marine Station (PiE),PiEGetxo,https://docs.google.com/spreadsheets/d/1KGcishLP5eAn6ZCnixn5wZIez1Y9MgmYoch2s7aefKM/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Spain,University of Basqua Country - Plentzia Marine Station (PiE),Plenzia,https://docs.google.com/spreadsheets/d/13XeETquTvY6F_8Re25E0BAmSxLi0mThDUXYay3Eb5-o/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Portugal,Centre for Marine Sciences (CCMAR),RFormosa,https://docs.google.com/spreadsheets/d/15f_yqrhvOr1MW-SHuv0JiKf0HRDy81uGZapJANxL54k/edit?usp=sharing,https://docs.google.com/spreadsheets/d/17rqrZ-qrDP77SpoEyBFO17wewp98a-tLBWTlBAn6ZCc/edit?usp=sharing,2023-12-31,kmexter,https://data.emobon.embrc.eu/observatory-profile/0.22,1
Portugal,Interdisciplinary Centre of Marine and Environmental Research (CIIMAR),OSD74,https://docs.google.com/spreadsheets/d/1VATpzmhwmk8sYkhEjCbDUZHRiYuNGpSRefhXthZRbfQ/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Italy,Istituto di Scienze Marine (CNR-ISMAR),AAOT,https://docs.google.com/spreadsheets/d/1hvLkBwiKTGTJDx19m_8e7qJ2lm9bwLLeVztMpxTLqnk/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Italy,Stazione Zoologica Anton Dohrn (SZN),NRMCB,https://docs.google.com/spreadsheets/d/1F4AWv_seI-DQJ_Gp_N2ziwvGyjnc4KC92GGNXrJRek4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1a19q3w2sP7dae8HEzT5TdmfqhRQQd3GItFqiYxWJlxs/edit?usp=sharing,2023-12-31,kmexter,https://data.emobon.embrc.eu/observatory-profile/0.22,1
Greece,Hellenic Centre for Marine Research (HCMR),HCMR-1,https://docs.google.com/spreadsheets/d/13DcVK2mzSxMJoFydSBaIMmj7Td1_JapEvcY2bmZTyLc/edit?usp=sharing,,2023-12-31,kmexter,https://data.emobon.embrc.eu/observatory-profile/0.22,1
Israel,Interuniversity  Institute for Marine Sciences (IUI),IUIEilat,https://docs.google.com/spreadsheets/d/1qIwi1nZu4OBiriCzn1fEG1fyG8-3wSVvwzsMiH6JTwk/edit?usp=sharing,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Sweden,Umea Marine Sciences Centre - Umea University (UmU),UMF,https://docs.google.com/spreadsheets/d/1-1VsUUbRtKselxu-y2BghRIrJdaf74SbmvK42ntvd20/edit#gid=2052143695,https://docs.google.com/spreadsheets/d/1DpQqo2i4q7RAM0sdm_z2pISa8SDBa9aYhWmUflFuUQs/edit?usp=drive_web&ouid=110054986816469121247,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
Sweden,Linnaeus University (LnU),LMO,https://docs.google.com/spreadsheets/d/1AvQMYcS0tdNMw6Er8zUarQg1a_wrshhnkTS6RuI1FJQ/edit#gid=2052143695,,2023-12-31,melinalou,https://data.emobon.embrc.eu/observatory-profile/0.15,1
